user id,item id,rating,timestamp
196,242,3,881250949
63,242,3,875747190
226,242,5,883888671
154,242,3,879138235
306,242,5,876503793
296,242,4,884196057
34,242,5,888601628
271,242,4,885844495
201,242,4,884110598
209,242,4,883589606
35,242,2,875459166
354,242,5,891180399
199,242,5,883782485
113,242,2,875075887
1,242,5,889751633
173,242,5,877556626
360,242,4,880353616
234,242,4,891033261
14,242,4,876964570
309,242,4,877370319
331,242,4,877196089
21,242,3,874951617
111,242,4,891679901
439,242,5,882892424
355,242,4,879486529
204,242,5,892388935
145,242,5,875269755
30,242,5,885941156
463,242,2,889935629
144,242,4,888103444
417,242,3,879645999
2,242,5,888552084
497,242,1,878759351
523,242,5,883699464
12,242,5,879960826
202,242,3,879726342
131,242,5,883681723
451,242,1,879012857
532,242,4,888817735
539,242,5,879787770
537,242,3,886028498
416,242,4,888819254
566,242,5,881649273
597,242,4,875338983
181,242,1,878961814
639,242,4,891238514
123,242,5,879809053
520,242,5,885168819
617,242,3,883788511
86,242,4,879569486
624,242,4,891961040
9,242,4,886958715
651,242,5,880126430
492,242,5,879969878
207,242,4,890793823
460,242,4,882910838
697,242,5,882621486
129,242,4,883243972
40,242,4,889041330
740,242,4,879523187
239,242,5,889178512
794,242,5,891034156
461,242,3,885355735
771,242,4,880659235
733,242,4,879535011
568,242,4,877906547
673,242,4,888787508
249,242,5,879571438
6,242,4,883268170
205,242,4,888284313
592,242,5,882607286
440,242,5,891546594
641,242,5,879370299
765,242,5,880345862
139,242,3,879537876
628,242,5,880777096
473,242,3,878156824
695,242,5,888805837
206,242,3,888180049
863,242,4,889289570
90,242,4,891382267
594,242,4,875997093
866,242,3,891221165
803,242,5,880054592
240,242,5,885775683
753,242,4,891399477
735,242,5,876697561
869,242,2,884490097
655,242,4,887424795
18,242,5,880129305
898,242,4,888294441
937,242,3,876762200
767,242,4,891462614
533,242,4,884698095
680,242,4,876815942
485,242,5,891040423
574,242,5,891278860
758,242,3,880672230
486,242,4,879874018
13,242,2,881515193
724,242,1,883758268
270,242,5,876953744
428,242,4,885943651
861,242,5,881274504
871,242,3,888192858
408,242,4,889679947
195,242,4,879141989
279,242,3,877756647
743,242,4,881277267
707,242,4,879439088
894,242,4,879896041
675,242,4,889488522
305,242,5,886307828
845,242,4,885409493
500,242,3,891916883
720,242,4,891262608
721,242,3,877137597
186,302,3,891717742
191,302,4,891560253
49,302,4,888065432
54,302,4,880928519
62,302,3,879371909
206,302,5,888180227
197,302,3,891409070
214,302,4,892668197
190,302,5,891033606
303,302,4,879465986
181,302,2,878961511
154,302,4,879138235
31,302,4,881547719
305,302,4,886307860
178,302,4,892239796
102,302,3,880680541
100,302,4,891374528
144,302,3,888103530
13,302,5,881514811
315,302,5,879799301
88,302,3,891037111
282,302,5,879949347
334,302,5,891544177
208,302,1,883108157
112,302,4,886398509
277,302,4,879544201
145,302,4,879161553
392,302,5,891037385
276,302,5,877584085
360,302,4,880353526
126,302,4,887853469
319,302,4,876280242
47,302,5,879439040
146,302,4,891457538
378,302,5,889664996
131,302,5,883681723
171,302,4,891034606
201,302,4,884110637
192,302,5,881366489
345,302,5,884902317
204,302,5,892389137
107,302,4,891264296
222,302,3,877562748
433,302,5,880585028
229,302,5,891633028
339,302,4,891034592
427,302,4,879700759
29,302,4,882820663
420,302,4,891356790
43,302,4,887731794
268,302,5,876513584
241,302,3,887249576
397,302,5,889760703
383,302,4,891192216
346,302,3,877231140
461,302,3,885355646
418,302,2,891282551
405,302,4,885544635
179,302,4,892151173
362,302,5,885019260
10,302,4,877886162
90,302,5,891383319
297,302,4,875408934
425,302,5,878737511
413,302,2,879968794
149,302,4,883512623
430,302,4,877225173
232,302,5,885939473
104,302,5,888441877
285,302,5,890595313
129,302,4,883243934
26,302,5,891386368
514,302,5,885180556
15,302,4,879455049
293,302,4,888904092
489,302,5,891448109
421,302,4,892241236
343,302,4,876402390
498,302,3,881953659
460,302,4,882910837
390,302,5,879693461
173,302,5,877556626
140,302,4,879013617
269,302,3,891446132
322,302,5,887314417
567,302,4,882426300
466,302,5,890284651
446,302,4,879787730
404,302,4,883790218
408,302,5,889679683
299,302,4,889501087
116,302,3,876451911
532,302,5,875441085
507,302,5,889963959
423,302,5,891394595
569,302,4,879792991
352,302,4,884289619
512,302,4,888578289
634,302,5,877974667
3,302,2,889236939
375,302,5,886621795
561,302,4,885806797
450,302,5,882215617
63,302,3,875746809
628,302,5,880776981
570,302,4,881262145
105,302,5,889214193
555,302,3,879962096
548,302,4,891042194
6,302,4,883268222
574,302,4,891278860
509,302,5,883590443
414,302,5,884998953
94,302,4,891928684
139,302,3,879537844
531,302,5,887048686
